cluster,station_name,state,district,date_of_record,avg_temp,min_temp,max_temp,humidity,relative_humidity_pct,dew_point_c,absolute_humidity_g_m3,wind_speed,air_pressure,rainfall,elevation,latitude,longitude
Punjab Plains,Ambala,HR,Ambala,2021-01-01,9.1,4.4,13.6,78.40020846375421,78.40020846375421,5.537341908410356,6.947305867204952,,,,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-02,11.8,5.7,14.6,75.500032248075,75.500032248075,7.606836477619658,7.932988881523012,5.8,1017.4,2.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-03,14.6,9.4,20.0,73.0377729991541,73.0377729991541,9.818830381100835,9.121794483071033,11.5,1015.1,7.9,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-04,18.1,11.2,23.2,64.93405897574918,64.93405897574918,11.398384210146473,10.010978217493866,9.1,1016.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-05,16.2,14.5,24.1,67.40029529958203,67.40029529958203,10.15125583542305,9.275259101459097,13.2,1016.4,0.3,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-06,17.1,11.9,21.0,70.19240076574171,70.19240076574171,11.623109413191957,10.195733151982866,8.0,1016.4,7.9,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-07,14.3,12.1,22.6,70.27318396450397,70.27318396450397,8.956185670033015,8.617128874773893,7.2,1015.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-08,14.2,10.5,18.0,72.62168289681333,72.62168289681333,9.348484890661723,8.850784034722427,5.5,1015.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-09,13.8,9.6,19.6,71.1009203129113,71.1009203129113,8.649866666641435,8.455498787658119,9.7,1016.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-10,10.8,7.5,19.4,75.20261964132098,75.20261964132098,6.581938639829484,7.421777370882324,10.5,1016.6,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-11,10.8,7.5,16.2,73.47415364658808,73.47415364658808,6.243954535966026,7.251194353066816,10.6,1016.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-12,9.8,5.6,16.6,76.04285316409334,76.04285316409334,5.775398341939623,7.045254901070485,10.7,1016.8,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-13,9.4,6.2,12.6,73.93671163645348,73.93671163645348,4.983756984139271,6.678225110270774,7.9,1016.2,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-14,8.7,3.1,13.5,76.986396265786,76.986396265786,4.886988828455685,6.649860223733458,4.2,1017.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-15,11.3,4.8,17.4,71.28337898788693,71.28337898788693,6.285831613911414,7.2593574293078165,3.6,1015.4,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-16,9.2,5.0,18.3,74.05518389285852,74.05518389285852,4.8136613626379114,6.6042600867777805,5.7,1014.1,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-17,12.5,6.6,17.4,68.68597900290986,68.68597900290986,6.89609443062502,7.53837108932854,9.6,1016.2,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-18,15.1,7.5,21.4,65.81448048216208,65.81448048216208,8.748782944731701,8.473799149154793,6.1,1017.3,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-19,16.4,9.3,20.2,65.20591855137069,65.20591855137069,9.84661908580302,9.08196922696024,10.6,1013.9,0.0,271,30.3833,76.7667
Punjab Plains,Ambala,HR,Ambala,2021-01-20,13.8,9.5,20.7,72.88246209596797,72.88246209596797,9.016598702790727,8.667364180124249,15.9,1013.7,0.0,271,30.3833,76.7667
