cluster,station_name,state,district,date_of_record,avg_temp,min_temp,max_temp,relative_humidity,wind_speed,air_pressure,rainfall,elevation,latitude,longitude,is_injected,anomaly_category,anomaly_type,affected_feature,anomaly_id,event_start,event_end,severity,original_value,modified_value
Punjab Plains,Ambala,HR,Ambala,2021-01-01,9.1,4.4,13.6,78.40020846375421,,,,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-02,11.8,5.7,14.6,75.500032248075,5.8,1017.4,2.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-03,14.6,9.4,20.0,73.0377729991541,11.5,1015.1,7.9,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-04,18.1,11.2,23.2,64.93405897574918,9.1,1016.9,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-05,16.2,14.5,24.1,67.40029529958203,13.2,1016.4,0.3,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-06,17.1,11.9,21.0,70.19240076574171,8.0,1016.4,7.9,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-07,14.3,12.1,22.6,70.27318396450397,7.2,1015.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-08,14.2,10.5,18.0,72.62168289681333,5.5,1015.1,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-09,13.8,9.6,19.6,71.1009203129113,9.7,1016.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-10,10.8,7.5,19.4,75.20261964132098,10.5,1016.6,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-11,10.8,7.5,16.2,73.47415364658808,10.6,1016.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-12,9.8,5.6,16.6,76.04285316409334,10.7,1016.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-13,9.4,6.2,12.6,73.93671163645348,7.9,1016.2,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-14,8.7,3.1,13.5,76.986396265786,4.2,1017.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-15,11.3,4.8,17.4,71.28337898788693,3.6,1015.4,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-16,9.2,5.0,18.3,74.05518389285852,5.7,1014.1,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-17,12.5,6.6,17.4,68.68597900290986,9.6,1016.2,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-18,15.1,7.5,21.4,65.81448048216208,6.1,1017.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-19,16.4,9.3,20.2,65.20591855137069,10.6,1013.9,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-20,13.8,9.5,20.7,72.88246209596797,15.9,1013.7,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-21,12.8,7.9,19.2,71.99423187168648,14.7,1012.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-22,12.6,7.9,19.5,70.65705979768211,9.5,1015.2,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-23,15.5,10.1,19.6,69.38911682871911,13.0,1013.2,5.9,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-24,12.3,9.9,20.3,71.50534143736562,6.3,1016.4,3.2,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-25,12.6,7.5,17.9,68.83487930995302,7.5,1018.0,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-26,11.9,5.4,17.7,66.35195221322628,8.5,1017.6,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-27,12.2,4.6,20.0,66.65137121552944,9.2,1017.4,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-28,10.0,4.4,20.8,72.09104092010476,5.7,1018.6,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-29,11.7,4.5,17.9,69.88968012309387,10.2,1018.3,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-30,12.9,5.9,19.4,69.90917488496906,12.4,1016.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-01-31,13.1,4.4,20.2,70.4842233689368,7.2,1017.5,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-02-01,14.0,7.4,20.9,65.40955272571314,6.8,1019.6,0.0,271,30.3833,76.7667,True,SENSOR_FAULT,BIAS,min_temp,SF_BIAS_0154,2021-02-01,2021-02-05,medium,5.4,7.4
Punjab Plains,Ambala,HR,Ambala,2021-02-02,14.8,7.4,21.6,66.4799550304347,5.6,1017.7,0.0,271,30.3833,76.7667,True,SENSOR_FAULT,BIAS,min_temp,SF_BIAS_0154,2021-02-01,2021-02-05,medium,5.4,7.4
Punjab Plains,Ambala,HR,Ambala,2021-02-03,17.1,13.1,22.8,64.17631906638874,10.4,1017.2,0.0,271,30.3833,76.7667,True,SENSOR_FAULT,BIAS,min_temp,SF_BIAS_0154,2021-02-01,2021-02-05,medium,11.1,13.1
Punjab Plains,Ambala,HR,Ambala,2021-02-04,11.8,11.8,22.8,71.08103629857591,8.3,1018.4,2.0,271,30.3833,76.7667,True,SENSOR_FAULT,BIAS,min_temp,SF_BIAS_0154,2021-02-01,2021-02-05,medium,9.8,11.8
Punjab Plains,Ambala,HR,Ambala,2021-02-05,13.3,7.3,19.6,75.01074438607625,5.2,1018.6,23.1,271,30.3833,76.7667,True,SENSOR_FAULT,BIAS,min_temp,SF_BIAS_0154,2021-02-01,2021-02-05,medium,5.3,7.3
Punjab Plains,Ambala,HR,Ambala,2021-02-06,14.3,6.9,20.8,67.69086561583546,9.8,1018.4,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
Punjab Plains,Ambala,HR,Ambala,2021-02-07,15.0,7.5,21.2,65.06130684057604,11.6,1017.8,0.0,271,30.3833,76.7667,False,NORMAL,,,,,,,,
